Time,Temperature - E+R IAQ 3 F,Humidity - E+R IAQ 3 %,Carbon Dioxide (CO2) - E+R IAQ 3 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 3 ppb,Particulate Matter (PM2.5) - E+R IAQ 3 ug/m3,Particulate Matter (PM10) - E+R IAQ 3 ug/m3,Formaldehyde (HCHO) - E+R IAQ 3 mg/m3,Carbon Monoxide (CO) - E+R IAQ 3 ppm,Temperature - E+R IAQ 8 F,Humidity - E+R IAQ 8 %,Carbon Dioxide (CO2) - E+R IAQ 8 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 8 ppb,Particulate Matter (PM2.5) - E+R IAQ 8 ug/m3,Particulate Matter (PM10) - E+R IAQ 8 ug/m3,Formaldehyde (HCHO) - E+R IAQ 8 mg/m3,Carbon Monoxide (CO) - E+R IAQ 8 ppm,Temperature - E+R IAQ 1 F,Humidity - E+R IAQ 1 %,Carbon Dioxide (CO2) - E+R IAQ 1 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 1 ppb,Particulate Matter (PM2.5) - E+R IAQ 1 ug/m3,Particulate Matter (PM10) - E+R IAQ 1 ug/m3,Formaldehyde (HCHO) - E+R IAQ 1 mg/m3,Carbon Monoxide (CO) - E+R IAQ 1 ppm,Temperature - E+R IAQ 5 F,Humidity - E+R IAQ 5 %,Carbon Dioxide (CO2) - E+R IAQ 5 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 5 ppb,Particulate Matter (PM2.5) - E+R IAQ 5 ug/m3,Particulate Matter (PM10) - E+R IAQ 5 ug/m3,Formaldehyde (HCHO) - E+R IAQ 5 mg/m3,Carbon Monoxide (CO) - E+R IAQ 5 ppm,Temperature - E+R IAQ 11 F,Humidity - E+R IAQ 11 %,Carbon Dioxide (CO2) - E+R IAQ 11 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 11 ppb,Particulate Matter (PM2.5) - E+R IAQ 11 ug/m3,Particulate Matter (PM10) - E+R IAQ 11 ug/m3,Formaldehyde (HCHO) - E+R IAQ 11 mg/m3,Carbon Monoxide (CO) - E+R IAQ 11 ppm,Temperature - E+R  IAQ 10 F,Humidity - E+R  IAQ 10 %,Carbon Dioxide (CO2) - E+R  IAQ 10 ppm,Volatile Organic Compounds (VOC) - E+R  IAQ 10 ppb,Particulate Matter (PM2.5) - E+R  IAQ 10 ug/m3,Particulate Matter (PM10) - E+R  IAQ 10 ug/m3,Formaldehyde (HCHO) - E+R  IAQ 10 mg/m3,Carbon Monoxide (CO) - E+R  IAQ 10 ppm
9/25/2023 7:50,71.89397986,48.31365967,953,0,30,32,0,0,72.31869373,56.93869019,668,374,10,11,0.01,0,80.28207874,53.28611755,851,1290,15,15,0.04,0,71.66714404,55.08856201,767,221,21,23,0,0,,,,,,,,,73.71349268,57.59863281,674,313,302,320,0.001,0
9/25/2023 7:55,72.04359497,48.59213257,952,0,28,30,0,0,72.35247778,56.86239624,669,388,9,10,0.01,0,80.27242615,53.3624115,851,1307,15,15,0.04,0,71.67197034,54.66131592,769,232,25,26,0,0,,,,,,,,,73.72314526,58.11361694,645,219,238,250,0,0
9/25/2023 8:00,72.23182043,49.37223816,951,0,31,36,0.003,0,72.37178296,56.77084351,677,392,9,9,0.01,0,80.25312097,53.44252014,850,1322,15,15,0.04,0,71.64301257,54.79292297,775,230,24,25,0,0,72.74823389,65.96998596,922,179,20,20,0,0,73.71349268,58.43214417,624,180,192,203,0,0
9/25/2023 8:05,72.26560449,48.99839783,948,89,46,59,0.01,0,72.35247778,57.00354004,687,371,10,11,0.01,0,80.24346838,53.50927734,849,1344,15,16,0.04,0,71.56579187,55.02180481,777,232,24,25,0,0,72.79167053,66.01957703,921,180,19,20,0,0,73.72797156,58.68963623,616,174,160,168,0,0
9/25/2023 8:10,,,,,,,,,72.32834631,57.12561035,684,371,10,11,0.01,0,80.2289895,53.58175659,850,1372,14,15,0.04,0,71.76849622,55.02752686,778,258,21,22,0,0,72.83993347,66.08442688,917,181,19,20,0,0,73.72797156,58.74494934,617,177,143,150,0,0
9/25/2023 8:15,72.21734155,48.79240417,959,220,44,55,0.015,0,72.31869373,57.02070618,687,374,9,10,0.01,0,80.21933691,53.63134766,854,1393,15,15,0.04,0,71.62853369,55.01989746,789,377,26,27,0,0,72.87854382,66.05581665,908,180,19,19,0,0,73.70384009,58.58473206,617,187,137,142,0,0
9/25/2023 8:20,72.38143555,48.61883545,975,408,45,56,0.003,0,72.36213037,57.20762634,696,378,10,10,0.01,0,80.20485803,53.68284607,856,1423,13,14,0.04,0,71.80710657,55.05422974,797,339,24,25,0,0,72.84958606,65.78878784,900,177,18,20,0,0,73.73762415,58.56184387,635,201,133,138,0,0
9/25/2023 8:25,72.26560449,49.18722534,971,268,43,54,0,0,72.42969849,57.35830688,702,403,9,9,0.01,0,80.19037915,53.73434448,857,1452,14,14,0.04,0,71.86502209,54.88066101,793,339,25,26,0,0,,,,,,,,,73.75210303,58.40162659,652,216,132,137,0,0
9/25/2023 8:30,72.44417737,48.81910706,969,310,45,57,0,0,72.47313513,57.32206726,719,467,9,10,0.01,0,80.17590027,53.76486206,860,1466,15,15,0.04,0,71.82158545,55.21635437,783,331,24,25,0,0,,,,,,,,,,,,,,,,
9/25/2023 8:35,72.49244031,57.07029724,976,864,302,358,0.045,0,72.53587695,57.25721741,720,415,9,9,0.01,0,,,,,,,,,71.86984839,54.91117859,782,345,26,29,0,0,,,,,,,,,,,,,,,,
9/25/2023 8:40,72.83028088,54.39237976,984,636,193,222,0.003,0,72.58896619,57.36212158,718,420,9,10,0.01,0,80.06006921,55.22779846,733,738,20,20,0.02,0,71.81675916,55.18202209,782,335,24,26,0,0,,,,,,,,,,,,,,,,
9/25/2023 8:45,73.11020593,55.25259399,983,628,150,169,0.001,0,72.69997095,57.39454651,723,743,10,10,0.01,0,80.00697998,55.48719788,846,1100,17,17,0.029,0,71.82158545,55.01989746,781,338,25,26,0,0,,,,,,,,,73.79071338,58.31388855,687,301,187,196,0,0
9/25/2023 8:50,73.01368005,50.74552917,972,429,112,124,0,0,72.80132312,57.51852417,738,505,9,10,0.01,0,79.96836963,55.91062927,735,799,18,19,0.024,0,71.87950098,54.97602844,781,342,26,27,0,0,,,,,,,,,73.79071338,58.85748291,680,267,167,174,0,0
9/25/2023 8:55,72.83028088,50.69403076,948,426,103,114,0,0,72.78684424,57.30680847,764,489,9,10,0.01,0,79.9104541,56.41035461,559,488,20,21,0.011,0,71.73953845,55.01799011,783,346,26,27,0,0,72.87854382,65.85745239,930,191,18,19,0,0,73.82449744,59.24658203,674,323,247,260,0.001,0
9/25/2023 9:00,72.95093823,49.32455444,938,342,92,102,0,0,72.78684424,56.86621094,771,487,9,9,0.01,0,79.89597522,56.78610229,579,619,19,20,0.018,0,71.83606433,54.84632874,788,341,23,24,0,0,71.81675916,64.49560547,902,147,17,17,0,0,73.82449744,59.68527222,644,311,287,303,0,0
9/25/2023 9:05,72.66618689,49.04608154,924,251,81,91,0,0,72.84958606,56.95013428,759,449,9,10,0.01,0,79.89114893,56.82997131,654,811,19,19,0.021,0,71.88915356,55.11526489,789,328,25,26,0,0,71.41617676,64.74165344,799,134,16,16,0,0,73.81001855,59.62423706,617,254,235,248,0,0
9/25/2023 9:10,72.88819641,48.74090576,923,248,81,90,0,0,72.815802,56.72697449,753,451,9,9,0.01,0,79.94423816,57.30680847,661,841,18,19,0.028,0,71.82641174,54.97793579,785,320,24,25,0,0,,,,,,,,,73.80519226,59.87600708,592,224,207,218,0,0
9/25/2023 9:15,,,,,,,,,72.77719165,56.96920776,755,458,9,9,0.01,0,,,,,,,,,71.95189539,55.02180481,783,323,21,21,0,0,,,,,,,,,73.7762345,60.02478027,573,214,184,192,0,0
9/25/2023 9:20,,,,,,,,,72.83510718,56.47520447,760,529,8,9,0.01,0,,,,,,,,,71.85536951,55.22207642,789,315,23,25,0,0,,,,,,,,,73.78588708,61.25692749,558,183,157,165,0,0
9/25/2023 9:25,,,,,,,,,72.90267529,56.31689453,759,496,9,9,0.01,0,,,,,,,,,71.93259021,55.23542786,791,304,25,26,0,0,,,,,,,,,73.80036597,60.08772278,565,228,164,173,0,0
9/25/2023 9:30,72.80132312,48.29649353,883,175,97,108,0,0,72.94128564,56.39509583,763,466,8,9,0.01,0,79.9876748,58.27764893,492,36455,36,45,0.573,0,71.90845874,55.98883057,787,413,20,20,0,0,,,,,,,,,73.78106079,59.71960449,569,235,159,167,0,0
9/25/2023 9:35,72.78201794,48.8992157,862,155,84,93,0,0,72.86889124,56.81852722,756,474,9,9,0.01,0,80.05041663,58.2375946,486,37021,36,46,0.521,0,71.98085315,55.62261963,780,358,26,28,0,0,,,,,,,,,73.78588708,59.6375885,568,236,151,159,0,0
9/25/2023 9:40,72.89302271,48.3346405,854,133,82,90,0,0,72.979896,57.46893311,733,409,8,9,0.01,0,80.11798474,58.18037415,484,35694,35,44,0.495,0,71.95672168,55.7389679,780,348,23,25,0,0,,,,,,,,,73.8534552,59.42778015,568,251,148,156,0,0
9/25/2023 9:45,72.82545459,48.93354797,835,109,70,78,0,0,72.93163306,56.73460388,733,496,11,12,0.011,0,80.15659509,58.09645081,483,34678,34,43,0.475,0,71.97120056,56.10899353,780,339,24,25,0,0,,,,,,,,,73.90171814,59.32287598,571,314,145,150,0,0
9/25/2023 9:50,73.02333264,48.5463562,829,90,66,75,0,0,72.95576453,57.10653687,741,540,129,140,0.015,0,80.18072656,58.05448914,484,33710,34,44,0.461,0,71.90845874,55.95640564,780,567,24,25,0.009,0,,,,,,,,,74.0127229,59.77301025,582,396,220,231,0.004,0
9/25/2023 9:55,73.00402747,56.93678284,820,64,57,70,0.001,0,73.0571167,57.8217926,763,672,453,484,0.018,0,80.19520544,58.03541565,486,32924,35,44,0.45,0,71.95189539,55.69509888,779,548,23,24,0.01,0,,,,,,,,,74.06098584,60.56455994,571,290,168,175,0,0
9/25/2023 10:00,73.22603699,52.98857117,817,70,55,69,0,0,73.03298523,57.73214722,783,635,440,474,0.019,0,80.20968433,58.0296936,488,31842,34,42,0.442,0,71.95189539,55.75422668,778,528,22,23,0.01,0,,,,,,,,,74.11890137,60.80870056,551,279,147,156,0,0
9/25/2023 10:05,72.83993347,52.54797363,784,34,50,63,0,0,73.16812146,58.28909302,793,803,464,528,0.021,0,80.22416321,57.98963928,489,30800,34,42,0.431,0,71.86984839,56.04223633,762,482,25,26,0.01,0,,,,,,,,,74.19612207,60.55883789,560,500,221,231,0.002,0
9/25/2023 10:10,72.86406494,53.40818787,754,20,45,56,0,0,73.43356763,60.22123718,704,836,495,583,0.02,0,80.23864209,57.97438049,491,29908,34,42,0.422,0,71.95672168,55.95449829,752,455,22,23,0.01,0,72.94128564,65.18797302,937,1085,17,18,0,0,74.26851648,60.16973877,574,582,236,246,0.003,0
9/25/2023 10:15,72.89302271,52.50410461,748,6,45,56,0,0,73.46735168,60.03622437,656,945,420,481,0.02,0,,,,,,,,,72.03876868,56.17002869,732,437,25,26,0.008,0,72.89302271,65.79260254,945,625,17,17,0,0,74.34091089,60.72668457,575,452,188,196,0,0
9/25/2023 10:20,72.96541711,52.69102478,734,0,42,53,0,0,73.34186804,58.40925598,708,721,347,399,0.02,0,,,,,,,,,72.02911609,56.21008301,715,441,20,21,0.009,0,,,,,,,,,,,,,,,,
9/25/2023 10:25,72.95576453,52.06732178,725,0,41,50,0,0,73.28395251,57.42315674,720,625,318,361,0.02,0,,,,,,,,,72.16907861,56.91007996,685,382,24,25,0.002,0,,,,,,,,,,,,,,,,
9/25/2023 10:30,73.04263782,52.33625793,714,0,38,46,0,0,73.2936051,57.67492676,712,584,293,331,0.02,0,80.26759985,58.18037415,576,26822,32,39,0.402,0,72.2559519,56.63542175,655,375,20,21,0,0,,,,,,,,,74.51948376,61.735672,560,467,146,153,0,0
9/25/2023 10:35,72.9750697,51.79075623,707,0,35,43,0,0,73.33221545,57.71307373,710,571,265,298,0.02,0,80.29655762,58.22615051,577,25014,31,37,0.385,0,72.29456226,56.48664856,669,423,23,24,0.004,0,,,,,,,,,74.52431006,61.57736206,559,501,150,156,0,0
9/25/2023 10:40,73.04746411,52.11500549,693,0,33,39,0,0,73.38047839,57.74168396,707,525,237,264,0.02,0,,,,,,,,,72.40074072,55.95640564,679,395,25,27,0,0,,,,,,,,,74.54844153,61.16346741,570,618,237,249,0,0
9/25/2023 10:45,73.02815894,51.72209167,682,0,32,37,0,0,73.44322021,57.68637085,693,493,210,235,0.011,0,80.33034167,58.69726563,581,21794,31,36,0.355,0,72.45382996,55.72180176,683,369,21,22,0,0,,,,,,,,,74.59670447,61.89398193,579,595,251,265,0,0
9/25/2023 10:50,73.09090076,52.01963806,673,0,31,36,0,0,73.38047839,57.14086914,678,490,194,217,0.015,0,,,,,,,0.344,0,72.23664673,56.18147278,670,358,25,27,0,0,73.59766162,66.22366333,832,442,28,30,0,0,74.70288293,61.84248352,572,635,267,280,0,0
9/25/2023 10:55,73.05229041,51.45315552,661,0,31,36,0,0,73.31291028,57.15994263,667,480,174,193,0.016,0,80.34964685,59.17601013,588,18436,30,36,0.333,0,72.38626184,57.06648254,673,428,25,26,0.001,0,,,,,,,,,74.86215063,62.33267212,566,525,224,234,0,0
9/25/2023 11:00,72.90750159,52.0368042,654,0,37,45,0,0,73.26464734,56.66593933,662,445,157,175,0.01,0,80.35929944,59.17219543,597,17046,29,32,0.326,0,72.54070325,57.42506409,680,441,23,25,0.001,0,71.73953845,66.31330872,731,280,27,28,0,0,74.97798169,62.35365295,539,477,194,202,0,0
9/25/2023 11:05,73.16812146,52.30383301,649,0,64,75,0,0,73.23568958,56.70980835,644,433,145,161,0.01,0,80.31586279,59.03295898,611,16001,29,32,0.313,0,72.08220532,57.24768066,658,384,22,23,0,0,72.22216785,67.13156128,712,307,30,31,0,0,75.01176575,62.66073608,527,443,171,179,0,0
9/25/2023 11:10,73.00402747,52.23326111,647,0,88,97,0,0,73.26464734,56.51144409,636,436,134,148,0.012,0,80.32068909,58.84031677,619,15499,28,31,0.304,0,72.08220532,57.32588196,631,369,24,25,0,0,72.97024341,67.43292236,729,347,32,34,0,0,75.0455498,62.41850281,531,526,165,172,0,0
9/25/2023 11:15,73.12951111,52.55751038,648,0,81,88,0,0,73.24534216,56.30926514,632,421,123,135,0.011,0,80.33999426,58.88800049,624,15096,27,30,0.3,0,72.02428979,57.60054016,624,348,22,23,0,0,,,,,,,,,74.99728687,61.58117676,540,588,165,172,0,0
9/25/2023 11:20,72.98472229,51.9662323,644,0,73,80,0,0,73.30325769,56.30545044,623,416,112,122,0.01,0,,,,,,,,,72.03876868,57.0569458,609,331,23,25,0,0,,,,,,,,,,,,,,,,
9/25/2023 11:25,73.02333264,52.49838257,653,0,69,76,0,0,73.35634692,56.85667419,610,410,99,108,0.01,0,80.3882572,59.2961731,640,14481,27,29,0.29,0,71.91811133,57.48991394,593,299,25,27,0,0,,,,,,,,,,,,,,,,
9/25/2023 11:30,73.20673181,52.38775635,662,0,57,70,0,0,73.38530469,57.51280212,602,414,90,100,0.012,0,80.46065161,59.86837769,663,14272,27,30,0.29,0,72.06290015,57.28773499,578,290,20,20,0,0,71.93259021,68.73945618,642,244,31,32,0,0,,,,,,,,
9/25/2023 11:35,73.11503223,52.43544006,653,0,53,66,0,0,73.42874133,58.28718567,599,405,78,87,0.011,0,80.50408826,60.56074524,705,14099,26,29,0.288,0,72.13529456,57.02070618,568,293,25,27,0,0,,,,,,,,,,,,,,,,
9/25/2023 11:40,73.40460986,52.63571167,650,0,49,62,0,0,73.43839392,58.99862671,592,415,72,81,0.01,0,80.50891455,60.53404236,711,13885,26,28,0.282,0,72.12564197,57.87710571,554,259,27,30,0,0,,,,,,,,,,,,,,,,
9/25/2023 11:45,73.38530469,52.14170837,643,0,53,66,0,0,73.43356763,59.15884399,595,415,66,76,0.01,0,80.54269861,60.69425964,709,13744,26,28,0.289,0,72.22699414,57.2686615,538,262,25,27,0,0,,,,,,,,,,,,,,,,
9/25/2023 11:50,73.11985852,52.17985535,636,0,176,201,0,0,73.40460986,59.01197815,592,405,62,73,0.01,0,80.59578784,60.9708252,716,13432,24,27,0.28,0,72.25112561,57.0569458,533,255,27,29,0,0,,,,,,,,,72.38626184,56.0803833,548,540,186,194,0,0
9/25/2023 11:55,73.47700427,53.55123901,642,0,303,361,0.006,0,73.40943616,58.78309631,585,398,56,70,0.01,0,80.65370337,61.23213196,726,13203,26,28,0.28,0,72.13529456,56.79182434,523,247,24,26,0,0,,,,,,,,,72.29938855,56.20817566,536,493,133,139,0,0
9/25/2023 12:00,73.62661938,53.00764465,633,0,274,321,0,0,73.47217798,58.82696533,579,364,51,64,,,80.66818225,61.3084259,737,12836,25,27,0.279,0,,,,,,,0,0,,,,,,,,,72.22216785,56.20436096,520,442,106,111,0,0
9/25/2023 12:05,73.30808398,52.52890015,622,0,278,327,0,0,,,,,,,,,80.68266113,61.04711914,744,12233,26,28,0.27,0,72.1787312,57.2019043,507,229,22,24,0,0,,,,,,,,,72.0966842,56.06321716,512,409,92,96,0,0
9/25/2023 12:10,,,,,,,,,,,,,,,0.01,0,80.69231372,60.67709351,747,12014,23,25,0.27,0,72.23182043,55.96975708,495,228,24,25,0,0,72.85923865,71.3639679,580,205,31,33,0,0,72.04842126,56.14523315,505,374,80,84,0,0
9/25/2023 12:15,,,,,,,,,73.39013098,57.94767761,568,359,47,60,0.01,0,80.73575037,60.63894653,754,11856,24,25,0.27,0,71.95672168,56.0098114,486,217,23,24,0,0,72.15942603,70.34925842,562,200,28,30,0,0,,,,,,,,
9/25/2023 12:20,73.10055334,51.64007568,614,0,265,307,0,0,73.36599951,57.46321106,565,347,45,57,0.01,0,80.77918701,60.83158875,758,11610,23,24,0.27,0,72.15459973,55.43760681,479,215,25,27,0,0,,,,,,,,,,,,,,,,
9/25/2023 12:25,,,,,,,,,73.3756521,57.50708008,553,351,45,57,0.01,0,,,,,,,,,72.02911609,56.02507019,469,200,23,24,0,0,,,,,,,,,,,,,,,,
9/25/2023 12:30,,,,,,,,,73.36599951,57.61961365,537,346,45,56,0.01,0,80.84675513,60.31278992,769,10871,22,23,0.26,0,72.19803638,55.39564514,462,201,28,31,0,0,,,,,,,,,71.75401733,55.25640869,495,354,78,82,0,0
9/25/2023 12:35,,,,,,,,,73.33704175,57.24005127,529,323,43,53,0.01,0,80.89984436,60.09916687,774,10726,21,22,0.26,0,72.05324756,56.13569641,461,196,26,27,0,0,,,,,,,,,,,,,,,,
9/25/2023 12:40,,,,,,,,,73.36599951,57.29345703,521,320,43,53,0.01,0,81.05911206,59.97137451,765,9255,21,22,0.237,0,72.79649683,57.05885315,462,231,32,34,0.003,0,,,,,,,,,71.66231775,55.40136719,492,343,54,66,0,0
9/25/2023 12:45,,,,,,,,,73.36599951,57.41934204,511,308,42,52,0.01,0,,,,,,,,,72.81097571,54.13679504,455,290,25,26,0,0,,,,,,,,,71.59474963,55.55204773,486,320,50,61,0,0
9/25/2023 12:50,,,,,,,,,73.34186804,57.19046021,507,295,40,50,0.01,0,,,,,,,,,72.17390491,53.12780762,456,244,28,30,0,0,,,,,,,,,,,,,,,,
9/25/2023 12:55,72.48278772,53.17930603,579,0,93,104,0.009,0,73.33704175,56.90054321,501,290,39,48,0.01,0,81.5031311,60.32614136,829,7376,20,21,0.209,0,72.26560449,53.48066711,454,247,28,29,0.003,0,,,,,,,,,71.55131299,55.65885925,483,314,47,57,0,0
9/25/2023 13:00,,,,,,,,,73.39495728,57.34686279,494,287,40,49,0.01,0,81.57069922,60.81632996,825,7606,20,22,0.211,0,72.31386743,52.86077881,450,234,28,30,0,0,,,,,,,,,71.57061816,55.84768677,480,302,44,53,0,0
9/25/2023 13:05,,,,,,,,,73.48183057,57.30871582,488,267,40,49,0.01,0,,,,,,,,,72.19321008,53.41581726,445,229,26,28,0,0,,,,,,,,,,,,,,,,
9/25/2023 13:10,,,,,,,,,73.46252539,56.93296814,494,261,37,45,0.01,0,,,,,,,,,72.39591443,53.02481079,442,225,28,30,0,0,,,,,,,,,,,,,,,,
9/25/2023 13:15,72.45382996,51.86323547,612,0,49,64,0,0,73.43356763,56.64877319,496,255,37,44,0.01,0,,,,,,,,,72.35730408,53.24606323,436,227,26,28,0,0,,,,,,,,,,,,,,,,
9/25/2023 13:20,72.74823389,53.96704102,612,0,46,59,0,0,73.44322021,56.65830994,486,243,35,43,0.01,0,81.86510315,59.63186646,853,6960,19,20,0.212,0,72.43935107,52.96377563,430,219,24,26,0,0,,,,,,,,,,,,,,,,
9/25/2023 13:25,72.87371753,53.80110168,614,0,44,55,0,0,73.41426245,56.82234192,489,272,33,41,0.01,0,82.01954456,58.51225281,808,5135,24,26,0.167,0,72.51174548,53.57794189,427,220,23,23,0,0,,,,,,,,,,,,,,,,
9/25/2023 13:30,,,,,,,,,73.47700427,57.03024292,516,284,33,39,0.01,0,82.24638037,57.49754333,651,3527,37,44,0.117,0,72.45382996,53.12780762,421,209,26,28,0,0,,,,,,,,,72.10633679,57.67492676,479,859,75,85,0.017,0
9/25/2023 13:35,,,,,,,,,73.57353015,56.48664856,553,264,31,37,0.01,0,82.41530066,57.28010559,590,3212,30,33,0.105,0,72.58896619,53.24224854,419,215,30,33,0,0,,,,,,,,,,,,,,,,
9/25/2023 13:40,,,,,,,,,73.64109827,58.05639648,568,270,30,34,0.01,0,82.44908472,58.037323,655,3991,28,30,0.146,0,73.03781152,57.73786926,396,135,23,23,0.002,0,,,,,,,,,73.07642188,58.22042847,487,997,173,180,0,0
9/25/2023 13:45,,,,,,,,,73.63144568,58.61906433,567,249,31,36,0.01,0,82.45391101,58.2375946,645,3979,30,32,0.153,0,73.2984314,55.72943115,383,186,17,18,0,0,,,,,,,,,73.4528728,58.3196106,485,920,127,133,0,0
9/25/2023 13:50,,,,,,,,,73.76175562,60.09916687,560,225,28,31,0.01,0,82.49734766,58.49508667,639,4049,29,31,0.16,0,72.61309766,53.61036682,388,182,19,19,0,0,,,,,,,,,73.7762345,58.18991089,487,824,110,115,0,0
9/25/2023 13:55,,,,,,,,,73.99824402,61.04521179,541,216,29,33,0.01,0,82.53595801,58.84603882,635,4283,29,31,0.169,0,72.07255273,53.61990356,388,163,22,23,0,0,,,,,,,,,74.04650696,57.7512207,502,1047,273,289,0,0
9/25/2023 14:00,,,,,,,,,74.04168066,61.5907135,528,215,27,31,0.01,0,,,,,,,,,72.43935107,54.03952026,387,171,21,23,0,0,,,,,,,,,74.29747424,58.01634216,514,864,218,229,0,0
9/25/2023 14:05,,,,,,,,,74.10442249,61.33322144,536,252,28,32,0.01,0,,,,,,,,,72.28490967,53.39102173,382,162,25,26,0,0,,,,,,,,,,,,,,,,
9/25/2023 14:10,73.97411255,57.31062317,636,342,167,184,0.013,0,73.98859143,61.16918945,539,263,29,32,0.01,0,82.75796753,59.44113159,634,4709,29,31,0.187,0,72.16425232,54.21881104,378,158,23,23,0,0,,,,,,,,,,,,,,,,
9/25/2023 14:15,,,,,,,,,74.0899436,63.1280365,553,281,28,31,0.01,0,82.83518823,59.61088562,635,4842,29,30,0.19,0,72.40556702,53.40628052,375,165,21,22,0,0,,,,,,,,,74.8911084,57.60054016,507,625,115,121,0,0
9/25/2023 14:20,,,,,,,,,74.15268542,62.55392456,556,299,27,30,0.01,0,,,,,,,,,72.08220532,53.25750732,373,151,23,24,0,0,,,,,,,,,75.06002869,58.16702271,502,586,105,110,0,0
9/25/2023 14:25,,,,,,,,,74.15751172,62.11714172,570,907,28,32,0.033,0,,,,,,,,,72.31869373,54.22071838,372,157,26,27,0,0,,,,,,,,,74.63048853,58.42260742,502,563,88,92,0,0
9/25/2023 14:30,,,,,,,,,74.07063843,60.87927246,586,592,26,29,0.017,0,83.32747021,59.68717957,833,4653,212,262,0.184,0,72.3379989,53.33761597,370,157,23,24,0,0,,,,,,,,,74.67392517,58.93186951,501,546,79,83,0,0
9/25/2023 14:35,75.16138086,56.93869019,637,596,180,198,0.042,0,74.0127229,61.04521179,596,453,27,30,0.01,0,83.54465344,58.18228149,752,3685,140,173,0.158,0,72.28973596,54.06622314,364,153,23,24,0,0,,,,,,,,,75.00693945,58.81361389,503,526,73,78,0,0
9/25/2023 14:40,75.02624463,54.69564819,627,358,158,171,0.03,0,74.02720178,59.59753418,599,399,24,26,0.01,0,83.63635303,57.9667511,754,3733,151,186,0.16,0,72.46348254,53.71717834,363,162,17,17,0,0,74.55809412,80.00997925,570,337,18,21,0.018,0,75.23377527,58.47029114,511,857,214,224,0.009,0
9/25/2023 14:45,,,,,,,,,74.08029102,59.67192078,581,379,26,29,0.01,0,83.73287891,57.78364563,746,3550,143,173,0.151,0,72.13529456,54.02426147,361,149,23,24,0,0,,,,,,,,,75.88049866,58.14985657,518,748,284,297,0.008,0
9/25/2023 14:50,,,,,,,,,74.0899436,59.40870667,580,354,25,28,0.01,0,83.83423108,57.74168396,740,3569,139,170,0.158,0,72.46348254,53.97657776,360,161,25,26,0,0,,,,,,,,,77.03398291,56.4294281,481,367,152,159,0,0
9/25/2023 14:55,,,,,,,,,74.2540376,60.29371643,619,377,25,26,0.01,0,83.87766772,57.83705139,735,3657,137,164,0.16,0,72.3428252,53.0133667,359,154,17,17,0,0,,,,,,,,,,,,,,,,
9/25/2023 15:00,,,,,,,,,74.45674194,61.62695313,630,491,24,26,0.02,0,83.93075696,57.9705658,730,3707,135,163,0.16,0,72.46830884,54.23025513,356,153,22,23,0,0,,,,,,,,,,,,,,,,
9/25/2023 15:05,,,,,,,,,74.74631958,61.87872314,739,786,21,23,0.03,0,83.9741936,58.17655945,726,3832,133,163,0.168,0,72.62757654,53.36050415,356,157,16,17,0,0,,,,,,,,,76.75405786,57.10272217,436,221,78,82,0,0
9/25/2023 15:10,74.47122083,51.64198303,591,183,48,61,0.02,0,74.96350281,62.37272644,780,732,22,25,0.024,0,84.02728284,58.33868408,721,3888,129,155,0.17,0,72.20286267,52.97903442,353,145,20,20,0,0,,,,,,,,,76.99537256,56.5038147,413,191,69,75,0,0
9/25/2023 15:15,74.47122083,51.61909485,583,220,43,53,0.02,0,75.2048175,63.25773621,721,531,25,28,0.012,0,,,,,,,,,72.45865625,53.60273743,351,150,16,16,0,0,,,,,,,,,77.11602991,56.29782104,404,177,63,72,0,0
9/25/2023 15:20,74.36986865,51.27577209,568,210,39,47,0.011,0,75.33030115,65.05827332,734,565,29,33,0.02,0,84.1334613,58.81742859,714,4078,125,152,0.18,0,72.62275024,52.95996094,350,150,17,18,0,0,,,,,,,,,77.24151355,56.2215271,400,157,56,68,0,0
9/25/2023 15:25,,,,,,,,,75.35925891,65.7086792,762,565,31,37,0.02,0,84.2155083,58.95285034,705,4034,123,146,0.178,0,72.21251526,52.62617493,348,136,22,23,0,0,72.23664673,67.5206604,467,81,15,16,0,0,77.40560754,56.18910217,391,112,55,65,0,0
9/25/2023 15:30,,,,,,,,,75.39304297,65.01249695,760,689,34,40,0.022,0,84.30238159,59.04249573,697,4148,122,146,0.18,0,72.28973596,53.59320068,345,137,23,25,0,0,73.00402747,67.21357727,467,96,16,16,0,0,77.69518518,55.68174744,381,73,57,67,0,0
9/25/2023 15:35,,,,,,,,,75.48956885,65.09069824,772,723,35,43,0.024,0,84.35547083,59.25039673,692,4225,121,144,0.18,0,72.61792395,52.76541138,344,149,20,20,0,0,73.39978357,66.43537903,479,92,15,15,0,0,77.73379553,55.39945984,378,102,48,59,0,0
9/25/2023 15:40,,,,,,,,,75.6102262,65.84028625,759,898,39,49,0.03,0,84.4519967,59.81687927,702,4236,119,141,0.18,0,72.32352002,52.39920044,343,138,22,24,0,0,,,,,,,,,77.78205847,55.57684326,377,91,45,54,0,0
